Date,TEL,MER,AEV,NVDA,META,BTC,SPY,RF_Rate
2020-01-02,12.949614524841309,6.232741523565988,1.0305719766022876,5.963803768157959,207.9538116455078,6985.47021484375,296.1253356933594,0.0525
2020-01-03,13.002118110656738,6.173474344478418,1.0345114658560985,5.868346691131592,206.8534698486328,7344.88427734375,293.8829650878906,0.0525
2020-01-06,12.929924011230469,6.090038416638106,1.0339357826318072,5.8929572105407715,210.74929809570312,7769.21923828125,295.0041809082031,0.0525
2020-01-07,13.35654354095459,6.039284559188309,1.0260920367552953,5.964300155639648,211.20526123046875,8163.6923828125,294.1747131347656,0.0525
2020-01-08,13.461560249328613,5.919387984448217,1.0169657620730286,5.975486755371094,213.34649658203125,8079.86279296875,295.7425231933594,0.0525
2020-01-09,13.756911277770996,5.967083290606163,1.0268934034996653,6.041113376617432,216.39967346191406,7879.0712890625,297.7477722167969,0.0525
2020-01-10,13.796294212341309,6.080947496963682,1.0266534735133488,6.073429584503174,216.16177368164062,8166.55419921875,296.8909912109375,0.0525
2020-01-13,13.973506927490234,,,6.2638468742370605,219.978271484375,8144.1943359375,298.9327697753906,0.0525
2020-01-14,14.11133861541748,6.038034920047406,1.030110944365043,6.147010803222656,217.15306091308594,8827.7646484375,298.4770202636719,0.0525
2020-01-15,13.88161849975586,5.784371996303177,1.0365974439339483,6.104503631591797,219.22483825683594,8807.0107421875,299.1514892578125,0.0525
2020-01-16,13.848800659179688,5.810975982720772,1.0440058545227149,6.188027381896973,219.8394317626953,8723.7861328125,301.6399841308594,0.0525
2020-01-17,13.940688133239746,5.723839479280318,1.0621557796602654,6.196727752685547,220.20623779296875,8929.0380859375,302.5788269042969,0.0525
2020-01-21,13.671590805053711,5.487421268451292,1.005306582669354,6.163417339324951,219.51235961914062,8745.89453125,301.9863586425781,0.0525
2020-01-22,13.435304641723633,5.686274509803922,1.0196078431372548,6.217360496520996,219.39340209960938,8680.8759765625,302.0228271484375,0.0525
2020-01-23,13.448433876037598,5.923310706770581,1.039521415426625,6.285721778869629,217.84695434570312,8406.515625,302.36920166015625,0.0525
2020-01-24,13.49437427520752,5.932319942167766,1.0387445136831455,6.226557731628418,216.0428009033203,8445.4345703125,299.6802062988281,0.0525
2020-01-27,13.277782440185547,5.795387397061262,1.0408042672273286,5.97101354598999,212.99952697753906,8909.8193359375,294.87652587890625,0.0525
