Date,Price,Open,High,Low,Vol.
2020-01-02,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-03,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-06,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-07,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-08,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-09,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-10,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-13,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-14,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-15,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-16,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-17,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-21,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-22,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-23,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-24,8.803738594055176,8.803738594055176,8.803738594055176,8.803738594055176,0
2020-01-27,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,550
2020-01-28,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
2020-01-29,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
2020-01-30,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
2020-01-31,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
2020-02-03,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
2020-02-04,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
2020-02-05,7.936100959777832,7.936100959777831,7.936100959777831,7.936100959777831,0
