Date,Price,Open,High,Low,Vol.
2020-01-02,207.9538116455078,204.95018976018724,207.9637191476727,204.4743725149964,12077100
2020-01-03,206.8534698486328,205.4061880108875,208.56840549920506,205.148441700033,11188400
2020-01-06,210.74929809570312,204.90064921266088,210.9277239141144,204.7222233942496,17058900
2020-01-07,211.20526123046875,210.96736016633307,212.71203351581175,209.90666750220223,14912400
2020-01-08,213.34649658203125,211.14582062181162,214.35762164844684,210.7592162031763,13475000
2020-01-09,216.39967346191406,215.6462796790009,216.4789788667449,214.39725358632398,12642800
2020-01-10,216.16177368164062,217.2918493159677,217.96593774529924,215.52734552071945,12119400
2020-01-13,219.978271484375,217.68838251277953,220.03774676270825,217.3017780776525,14463400
2020-01-14,217.15306091308594,219.68086596283632,220.44416728003057,216.72681136156237,13288900
2020-01-15,219.22483825683594,218.689545721998,219.75022328905106,218.2236359574362,10036500
2020-01-16,219.8394317626953,220.63247055477103,220.69194581713427,218.47144022451363,10015300
2020-01-17,220.20623779296875,220.0971947542229,220.35492597036807,218.61025247639355,15905900
2020-01-21,219.51235961914062,220.22609320450323,220.43425667675686,217.21254803831434,14275800
2020-01-22,219.39340209960938,220.37477440386175,220.81094659506738,219.35374183170325,12212800
2020-01-23,217.84695434570312,218.82834170856364,219.5619053548799,217.36122954189034,11195000
2020-01-24,216.0428009033203,218.8779047645845,219.84936947725353,214.22872952215866,11905800
2020-01-27,212.99952697753906,211.24494592278575,214.17917031016634,210.6501629417429,13810700
2020-01-28,215.8940887451172,214.25845836861734,216.8358309098469,211.66127082199432,13413800
2020-01-29,221.2867431640625,219.5123320537504,222.24830037009562,216.54835503324057,33181300
2020-01-30,207.70602416992188,204.7321393985765,209.58947847472322,202.96763564432172,48775500
2020-01-31,200.15235900878906,206.61559093454187,206.8733372918856,199.30975228448216,31359900
2020-02-03,202.4124755859375,201.66900453018386,203.35420256470064,200.7371850534861,15495600
2020-02-04,208.00343322753906,204.82136959821392,208.7667346185418,203.41373250275578,19628900
2020-02-05,208.28099060058594,210.6600925221653,210.8781786296722,206.89318366732485,12538200
2020-02-06,209.01451110839844,208.6378142504393,209.35154770448926,207.517646305008,10567500
2020-02-07,210.48162841796875,208.46930116761217,210.9673683192804,208.10251180296524,12242500
2020-02-10,211.20526123046875,209.6786739404196,211.93882480545525,208.82615983336527,11856400
2020-02-11,205.38636779785156,208.36025213654113,209.02441782373353,204.71227948225044,25030800
2020-02-12,208.92529296875,206.04063650858083,209.38129524606632,205.59454173422142,13813700
2020-02-13,211.2845916748047,207.69610902307352,212.46423501084925,207.35905726566108,15396600
2020-02-14,212.31552124023438,212.1370954297724,213.05899236907703,210.79884134747206,10741700
2020-02-18,215.90402221679688,211.6910190874841,216.0824480300486,211.54231578381527,15609200
2020-02-19,215.59671020507812,216.09235760210728,216.41948669926148,214.2287185489711,12135100
2020-02-20,212.71205139160156,214.63516582675354,216.8655792462106,211.09623594075467,13109200
2020-02-21,208.35035705566406,211.62163328593365,212.3750270986265,207.0121180018901,14092300
2020-02-24,198.97267150878906,200.0432715897598,201.87715769180951,196.44486702254892,23080100
2020-02-25,195.0570831298828,200.48937442921064,201.7284929361897,194.24421412884456,21433500
2020-02-26,195.48330688476562,195.47339938335992,199.4584082121268,193.78820146105156,16524500
2020-02-27,188.0982208251953,190.15020867647684,194.17486384025085,187.8503970823426,21682600
2020-02-28,190.79454040527344,181.10958449994126,191.06219427727905,180.23725522882313,32568900
2020-03-02,194.72996520996094,192.34094096110195,194.8588383823931,187.20604083380425,24949000
2020-03-03,184.2718048095703,194.51188274461072,195.5230077584199,182.36852045331503,27984100
2020-03-04,190.0906982421875,187.52324816700101,190.1600961433349,184.76744964693935,23062500
2020-03-05,183.55804443359375,185.15402956344934,187.3447975852347,182.28918838170378,19333400
2020-03-06,179.51358032226562,176.77761198822552,182.18016588247215,174.7256243932262,24559600
2020-03-09,168.0244903564453,168.12362589966506,173.47661246240665,163.75201163538196,29949000
2020-03-10,176.6388397216797,173.149477456772,176.73796013558226,168.02448466585489,24517800
2020-03-11,168.758056640625,172.49522768723494,174.34895951738508,166.20051387107003,20373900
2020-03-12,153.1253204345703,158.15117758148926,165.14973209945882,152.99644726061157,43266300
2020-03-13,168.79769897460938,162.10645821675976,169.303253942079,156.2280865595839,35028600
