Date,Price,Open,High,Low,Vol.
2020-01-02,6.232741523565988,5.972386497898042,6.232741523565988,5.9368835398524125,35386490
2020-01-03,6.173474344478418,6.181378921103871,6.299947570485659,6.133951461351155,45925674
2020-01-06,6.090038416638106,6.129202650828705,6.164450461600245,6.086121993219047,29395682
2020-01-07,6.039284559188309,6.15264329848699,6.15264329848699,5.961106118292668,39151972
2020-01-08,5.919387984448217,6.060605988053342,6.060605988053342,5.891928928191663,52816442
2020-01-09,5.967083290606163,5.986907487584921,6.078098793687208,5.955188772418908,50937370
2020-01-10,6.080947496963682,5.99407681843563,6.080947496963682,5.942744144759962,52674228
2020-01-14,6.038034920047406,5.982567407658519,6.097464397606927,5.982567407658519,64003964
2020-01-15,5.784371996303177,6.029673681508921,6.053412554270767,5.67754706887487,75078194
2020-01-16,5.810975982720772,5.810975982720772,5.905527456337924,5.712484864369572,52813922
2020-01-17,5.723839479280318,5.802517685181079,5.86152633960665,5.723839479280318,57163154
2020-01-20,5.529319198886546,5.804801294204737,5.804801294204737,5.517512823372909,101994336
2020-01-21,5.487421268451292,5.5227986261991875,5.597484159222522,5.487421268451292,40468374
2020-01-22,5.686274509803922,5.419607843137254,5.686274509803922,5.411764705882353,65686428
2020-01-23,5.923310706770581,5.687947367428703,5.923310706770581,5.593802031691952,91483156
2020-01-24,5.932319942167766,5.881314545839604,5.932319942167766,5.6890634366026855,35046060
2020-01-27,5.795387397061262,5.957027453713991,5.957027453713991,5.7362507909688,73954632
2020-01-28,5.545940889896979,5.762271917517074,5.860604202798935,5.545940889896979,47591650
2020-01-29,5.422672553685245,5.8367675486939365,5.8367675486939365,5.422672553685245,81028230
2020-01-30,5.457406846492024,5.508557739790075,5.606924842286326,5.429864057793075,51216934
2020-01-31,5.035523439178911,5.4564617266727735,5.507603761601934,5.035523439178911,160636492
2020-02-03,5.102141274328154,5.2006382101259945,5.2006382101259945,5.04304311284945,73062030
