Date,Price,Open,High,Low,Vol.
2020-01-02,296.125244140625,294.91293581934144,296.1434923281095,293.99229250686125,59151200
2020-01-03,293.8829650878906,292.74356586892327,295.0041439336054,292.688876931802,77709700
2020-01-06,295.0041198730469,292.1328118215423,295.08615327203825,292.0143098616565,55653900
2020-01-07,294.1745910644531,294.43891159464124,294.9129193650481,293.72792775638845,40496400
2020-01-08,295.74237060546875,294.36596792116745,296.9546787175248,294.1198677888309,68296000
2020-01-09,297.7477722167969,297.3011366636997,297.820709338136,296.71775096243204,48473300
2020-01-10,296.89105224609375,298.33126884575927,298.48621160583457,296.42619614849633,53029300
2020-01-13,298.93280029296875,297.5108322451486,298.9418965712198,297.0824170116794,47086800
2020-01-14,298.47698974609375,298.4952101168568,299.5434516916106,297.9209485381816,62832800
2020-01-15,299.15155029296875,298.38587734482564,299.90809914567166,298.30384393795646,72056600
2020-01-16,301.63995361328125,300.5278990481638,301.63995361328125,300.30001924233943,54050300
2020-01-17,302.5788879394531,302.3510080804288,302.7885196066415,301.57621099627295,95846000
2020-01-21,301.9863586425781,301.62175645504635,302.7885001455664,301.5488471444855,77742400
2020-01-22,302.0228271484375,302.84318902456715,303.49038781097767,301.8678844320141,48914900
2020-01-23,302.36920166015625,301.3756489009387,302.77939649699647,300.2635941747511,51963000
2020-01-24,299.6802062988281,303.0254945486543,303.1075279519649,298.39496067890184,87578400
2020-01-27,294.87652587890625,294.44811064824233,296.35318285602233,294.1108529210448,84062500
2020-01-28,297.9665832519531,296.298487210109,298.84163406721996,294.9676767051918,63834000
2020-01-29,297.7204284667969,299.32471133178075,299.55259115613137,297.5198931086739,53888900
2020-01-30,298.6866760253906,295.66042488337473,298.89633550564963,294.9130001022843,75491800
2020-01-31,293.2630920410156,298.06678837146853,298.22175888029057,292.3515728105219,113845600
2020-02-03,295.4416809082031,294.7398209430448,297.3011883827756,294.62131896327486,69083000
2020-02-04,299.9445495605469,299.04215432222543,300.81050405404096,298.7231169921296,62573200
2020-02-05,303.4083557128906,302.8705625667215,303.6180152040548,301.4121536768775,65951100
2020-02-06,304.4292907714844,304.3654777307045,304.62070207645655,303.35367662683126,50359700
2020-02-07,302.8067626953125,303.37190028539015,304.4383624299263,302.2598454793981,64139400
2020-02-10,305.0672607421875,301.92253597033135,305.13107376686384,301.88606741089336,42070000
2020-02-11,305.595947265625,306.41630901268127,307.20020220152,305.06725053223005,54864500
2020-02-12,307.5647888183594,307.0269680668399,307.77442040951746,306.6623659881099,43992700
2020-02-13,307.2367248535156,306.1428904532812,308.20293318619815,305.8694457619048,54501900
2020-02-14,307.7289123535156,307.64687895696886,307.84741430987003,306.4527909338537,64582200
2020-02-18,306.93597412109375,306.73543871652276,307.7928046845001,305.5504466650149,57226200
2020-02-19,308.4034423828125,307.90211788539574,309.07795777585227,307.61954912250815,48814700
2020-02-20,307.1364440917969,307.8565243216202,308.67691395841035,304.15575813081296,74163400
2020-02-21,303.97344970703125,305.7873641141862,306.0972773213097,303.153060127596,113788200
2020-02-24,293.8921203613281,294.5484154937722,304.04643281297626,292.81650624331786,161088400
2020-02-25,284.9865417480469,295.2776038121276,295.8883062471929,284.11149089171784,218913200
2020-02-26,283.9382019042969,286.38106643552646,289.96332985080215,283.20899774544955,194773800
2020-02-27,271.1861877441406,278.4327514100049,283.9930261776727,271.1861877441406,284353500
2020-02-28,270.0467834472656,263.15569806188904,271.5325647241753,260.2752930240666,384975800
2020-03-02,281.74151611328125,271.8241810091955,281.80532914475464,268.40598340350584,238703600
2020-03-03,273.6745300292969,282.11520716459734,286.07119736155244,271.24078921564694,300139100
2020-03-04,285.177978515625,279.03434596352906,285.39676211227726,276.4911987598748,176613400
2020-03-05,275.6981201171875,277.9951665598652,281.1763600202487,273.4649145191371,186366800
2020-03-06,271.1405944824219,267.2119474918185,272.3438069509594,264.55032601369834,228667200
2020-03-09,249.96592712402344,250.9412315537288,259.04465081754387,249.25494324110963,309417300
2020-03-10,262.900390625,259.4548490211814,262.9915202948296,249.3005113667445,276444100
2020-03-11,250.08448791503906,255.8635462842316,256.99382161350735,246.91241771549264,255316300
2020-03-12,226.15704345703125,233.34892983989002,243.0657284595874,225.76508294392715,392220700
2020-03-13,245.49038696289062,239.81161165387473,247.45927200830852,226.5307825549705,329566100
2020-03-16,218.6278839111328,219.84019219766736,234.1692750182009,216.35819611440786,297240000
2020-03-17,230.43209838867188,223.35869921057358,233.50392810842425,216.09390266325667,262070500
2020-03-18,218.76466369628906,215.34646582603455,226.39407689191867,207.84466479454713,327597100
2020-03-19,219.22950744628906,218.08099810602204,225.49165465544974,211.6730183757266,289322000
2020-03-20,209.78201293945312,222.37076338943308,224.149511692918,209.50694631687315,347158800
2020-03-23,204.4182586669922,209.22271174158334,210.58885308857097,200.1180920586079,326025200
2020-03-24,222.939208984375,214.9348561536564,223.81025556170377,214.3663954320049,235494500
2020-03-25,226.27664184570312,224.5162352253458,235.04201992086357,219.82181757105965,299430300
2020-03-26,239.48895263671875,228.77979208422354,240.95593755024464,228.3488575711158,257632800
2020-03-27,232.3555450439453,232.21801874837786,239.13128235143066,230.18254563117415,224341200
2020-03-30,239.9014892578125,234.44605962945386,240.61665407010992,232.45643301160396,171369500
2020-03-31,236.3256378173828,238.90206639274638,241.44181196172076,234.92281361805342,194881100
2020-04-01,225.68983459472656,227.36772539626958,236.24312431481496,223.62685616519354,189554600
2020-04-02,230.897705078125,224.80962736839078,231.67704405266247,224.2594942177443,177660400
2020-04-03,227.56028747558594,229.91666012342145,232.26388300481995,224.83715469449982,135561200
2020-04-06,242.84463500976562,236.40815247528656,244.80677011871967,227.54193143111638,188061200
2020-04-07,243.09219360351562,251.41744466183374,252.16929234238347,242.87215154323118,201427200
2020-04-08,251.25244140625,245.6869771638037,253.0586948036147,243.20224201687972,153774500
2020-04-09,255.07579040527344,254.50730182899804,257.82642785185396,252.57270025574996,189999200
2020-04-13,252.7469940185547,254.1039856856062,254.443226607134,248.85025633333169,114839100
2020-04-14,260.20123291015625,257.6248038351175,261.2189556921162,252.60947200950213,134143400
2020-04-15,254.67245483398438,254.49824549327255,260.3387633386726,252.56361522887224,121775000
2020-04-16,255.9010467529297,255.94687953066466,256.75373788155946,252.83867290726175,131798300
2020-04-17,262.8142395019531,261.658962878332,263.4193550866855,258.9266530783905,146684800
2020-04-20,258.18402099609375,259.1192277447229,262.95180422099605,257.9639789331066,100109300
2020-04-21,250.34471130371094,253.72799788074695,254.9291074264228,249.40947658688037,126385700
2020-04-22,255.9010467529297,255.21338720127235,257.64311202094046,253.89307862361522,92951600
2020-04-23,255.88265991210938,257.1754630685727,260.3387078110824,255.5801020580558,104709700
2020-04-24,259.4493103027344,257.3955098331214,260.1186421969253,255.35085912854342,85063200
2020-04-27,263.1902770996094,261.4207061930067,264.308871327073,260.9622663945535,77896600
2020-04-28,261.9799499511719,266.8302216256885,267.1786402598977,261.67736409264813,105270000
2020-04-29,268.8382873535156,267.2979361823903,270.36948875474167,266.27103540164006,118745600
2020-04-30,266.3351745605469,267.4629184687706,268.93910905447325,264.6022588270189,122901700
2020-05-01,259.28436279296875,261.594889070107,266.50020001311435,258.11990791498647,125180000
2020-05-04,259.99957275390625,257.4047876382704,260.3021307310815,255.92862481168595,80873200
2020-05-05,262.4017639160156,262.81437091102384,265.2074131354292,260.1278925305998,79569900
2020-05-06,260.6228942871094,264.0978740455981,264.4829476132183,260.19195997415204,73632600
2020-05-07,263.7678527832031,263.8320410550969,265.6933050734505,263.2635803176103,75250400
2020-05-08,268.13214111328125,266.89434866344646,268.59975843411314,265.7665772347648,76452400
2020-05-11,268.1871643066406,266.20670188943353,269.5624830979567,265.7849452947577,79514200
2020-05-12,262.8417663574219,269.36994163003214,269.78252047171196,262.70421209592996,95870800
2020-05-13,258.19317626953125,262.28244947607476,263.31852740068314,255.77260186362162,144721100
2020-05-14,261.2831115722656,255.7635079143885,261.41146013220174,250.29888679853764,121977900
2020-05-15,262.4842529296875,258.89925085277906,262.53008571070245,257.954866120157,111146300
2020-05-18,270.4794006347656,268.6914747602291,272.08393945209053,268.3705893815132,119703800
2020-05-19,267.70123291015625,269.88340997902395,271.58879193513707,267.6829053984864,95189300
2020-05-20,272.2489929199219,271.23127021904025,273.1108617924765,271.00205036955106,85861700
2020-05-21,270.369384765625,272.1206276660374,272.92748596370774,269.278296110494,78293900
2020-05-22,270.8828430175781,270.08516244349306,271.0570523361643,268.8473696991475,63958200
2020-05-26,274.22027587890625,276.8333877387792,277.07178533427884,270.9011769612808,88951400
2020-05-27,278.30047607421875,277.00767242380675,278.3371590944921,272.1940543126953,104817400
2020-05-28,277.7869567871094,279.32730748503195,281.3352756373356,277.1176247426951,90405200
2020-05-29,279.0247497558594,277.3193394971249,279.61153803025144,274.577879005406,119090800
2020-06-01,280.1524658203125,278.38289544316814,280.7576095309241,277.86944526100126,55758300
2020-06-02,282.47222900390625,281.06940446353366,282.5180897682759,279.7399459537755,74267200
2020-06-03,286.2313537597656,284.4526057998422,287.1849160018017,284.17755322085765,92567600
2020-06-04,285.4795837402344,285.2503638684051,286.98327953028644,283.3890996283888,75794400
2020-06-05,292.7962646484375,290.8616625425781,294.565835177491,290.7974742690629,150524700
2020-06-08,296.33544921875,293.60313838658124,296.52798606844794,293.062182869184,73641200
2020-06-09,294.125732421875,293.67644251654445,296.40875303318035,292.814573695221,77479200
2020-06-10,292.4845275878906,294.70338803982554,295.5927621739855,291.7693627776029,95000800
2020-06-11,275.6231994628906,285.57135003062865,286.20399927651175,275.0730940151214,209243600
2020-06-12,278.923828125,282.6188503742168,283.3890255846192,273.78014897594073,194678900
2020-06-15,281.52777099609375,273.24835223856235,282.6555425806839,272.07474788246594,135782700
2020-06-16,286.94659423828125,289.2571484357814,289.4038525103005,282.0963219351536,137627500
2020-06-17,285.7546081542969,287.96429064170104,288.25769873534205,285.0210879201945,83398900
2020-06-18,285.8646545410156,284.2417880969982,286.3414217497539,283.7833484028866,80828700
2020-06-19,284.2309875488281,289.32364222607004,289.5170263493881,282.2878438676283,135549600
2020-06-22,286.05438232421875,283.6323733290194,286.45036871018254,282.4904486423991,74649400
2020-06-23,287.37127685546875,288.6973956071107,289.627527981212,286.9660723422408,68471200
2020-06-24,280.0407409667969,285.3359965817493,285.95302134093265,278.2081310603143,132813500
2020-06-25,283.0430603027344,279.4699077593408,283.3101333609369,277.45310287638495,89468000
2020-06-26,276.3202819824219,281.94708210428337,282.1589024781775,275.7401296700566,127961000
2020-06-29,280.3814697265625,277.572693256611,280.51960120631884,275.2888164097337,79773300
2020-06-30,283.9731140136719,279.94872310498295,285.66762102118946,279.7921834155964,113394800
2020-07-01,285.962158203125,285.08730690922806,287.22383378335286,284.62684998484224,72396500
2020-07-02,287.53704833984375,289.38806675534465,290.7326217108491,286.8739889973159,69344200
2020-07-06,291.9757995605469,291.3495847273951,292.5559799310515,290.6036465664798,61713800
2020-07-07,288.9644775390625,290.4379459868934,292.4086879039096,288.5868993171508,82910000
2020-07-08,291.1746520996094,289.7288100254336,291.28515730964824,287.9698885921955,54638600
2020-07-09,289.5169372558594,291.7823777440841,292.0218243686505,286.10954433852584,83354200
2020-07-10,292.4731140136719,289.45251680342045,292.74018697945144,288.02511114921197,57550400
